"Time","House Price"
"20202",284.69
"20201",282.30
"20194",277.60
"20193",273.45
"20192",270.10
"20191",266.57
"20184",263.40
"20183",260.07
"20182",256.72
"20181",253.29
"20174",248.77
"20173",244.81
"20172",240.84
"20171",236.68
"20164",233.72
"20163",229.93
"20162",226.46
"20161",223.37
"20154",220.39
"20153",217.20
"20152",214.41
"20151",211.66
"20144",208.78
"20143",206.05
"20142",203.75
"20141",201.90
"20134",199.40
"20133",197.41
"20132",194.31
"20131",190.36
"20124",186.49
"20123",183.73
"20122",181.49
"20121",178.57
"20114",177.76
"20113",177.45
"20112",176.78
"20111",178.25
"20104",182.26
"20103",184.09
"20102",187.17
"20101",188.05
"20094",189.82
"20093",189.99
"20092",190.89
"20091",193.69
"20084",194.73
"20083",200.61
"20082",205.79
"20081",211.68
"20074",216.75
"20073",220.70
"20072",223.51
"20071",224.06
"20064",222.70
"20063",221.59
"20062",221.20
"20061",219.62
"20054",216.42
"20053",211.94
"20052",206.54
"20051",201.23
"20044",196.34
"20043",191.59
"20042",186.76
"20041",182.18
"20034",178.21
"20033",174.26
"20032",170.89
"20031",168.19
"20024",165.25
"20023",162.01
"20022",158.96
"20021",156.09
"20014",153.52
"20013",151.15
"20012",148.86
"20011",146.50
"20004",143.84
"20003",141.38
"20002",139.15
"20001",136.86
"19994",134.48
"19993",132.48
"19992",130.45
"19991",128.54
"19984",126.69
"19983",124.65
"19982",123.04
"19981",121.36
"19974",119.86
"19973",118.58
"19972",117.71
"19971",116.72
"19964",116.00
"19963",115.35
"19962",114.58
"19961",113.83
"19954",112.83
"19953",112.18
"19952",111.12
"19951",110.51
"19944",109.80
"19943",109.24
"19942",108.57
"19941",107.67
"19934",106.72
"19933",105.70
"19932",104.92
"19931",103.88
"19924",103.84
"19923",103.03
"19922",102.14
"19921",102.28
"19914",101.05
"19913",100.18
"19912",100.00
"19911",100.00
